,,,,,,,,data_referencia;cod_ibge;txt_municipio;mcmv_fgts_txt_uf;txt_regiao;data_assinatura_financiamento;qtd_uh_financiadas;vlr_financiamento;vlr_subsidio_desconto_fgts;vlr_subsidio_desconto_ogu;vlr_subsidio_equilíbrio_fgts;vlr_subsidio_equilíbrio_ogu;vlr_compra;vlr_renda_familiar;txt_programa_fgts;num_taxa_juros;txt_tipo_imovel;bln_cotista;txt_sistema_amortizacao;dte_nascimento;txt_compatibilidade_faixa_renda;txt_nome_empreendimento
02/05/2025;231085;Pindoretama ;CE;Nordeste;2020-09-25;1;101392,65;1171,0;0,0;18999,989999999998;0,0;158000,0;2700,94;Carta de Crédito Individual;5,5;Novo;S;sac;2000-06-15;Faixa 2;
02/05/2025;310490;Baependi ;MG;Sudeste;2018-10-16;1;76000,0;1053,0;117,0;15349,68;1705,52;97000,0;2856,15;Carta de Crédito Individual;6,0;Novo;N;sac;1970-06-28;Faixa 2;
02/05/2025;430466;Capão do Leão ;RS;Sul;2020-01-17;1;104000,0;2015,1;223,9;18899,99;2100,0;135000,0;2570,35;Carta de Crédito Individual;5,0;Novo;S;price;1993-12-17;Faixa 2;
02/05/2025;270430;Maceió ;AL;Nordeste;2010-06-10;1;41824,0;12132,0;4044,0;7526,0;2509,0;58000,0;1446,12;Apoio à Produção;4,5;Novo;N;price;;Faixa 1;
02/05/2025;351300;Cotia ;SP;Sudeste;2013-01-18;1;83016,28;16317,675;3461,3250000000007;13199,99175;2799,998250000001;135000,0;1842,5;Apoio à Produção;4,5;Novo;N;price;;Faixa 2;
02/05/2025;421630;São João Batista ;SC;Sul;2015-06-11;1;103920,0;1743,225;369,7750000000001;13199,99175;2799,9982500000006;135000,0;2440,95;Carta de Crédito Individual;4,5;Novo;N;price;;Faixa 2;
02/05/2025;350600;Bauru ;SP;Sudeste;2020-11-13;1;91376,75;27420,0;0,0;20999,989999999998;0,0;133000,0;1729,29;Carta de Crédito Individual;5,0;Novo;S;price;1989-01-29;Faixa 1;
02/05/2025;160030;Macapá ;AP;Norte;2015-08-21;1;134300,0;0,0;0,0;0,0;0,0;134300,0;7168,91;Pró-Cotista;8,5101;Novo;S;price;;Fora MCMV/CVA;
02/05/2025;520920;Guapó ;GO;Centro-Oeste;2013-01-16;1;60477,0;14456,474999999999;3066,5250000000015;13199,991749999997;2799,9982500000015;78000,0;1620,0;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 2;
02/05/2025;355030;São Paulo ;SP;Sudeste;2021-11-26;1;127632,23;4861,0;0,0;20418,2;0,0;192000,0;2508,29;Apoio à Produção;5,5;Novo;N;price;1999-01-24;Faixa 2;
02/05/2025;410710;Diamante do Norte ;PR;Sul;2013-01-18;1;26542,800000000003;9509,0;0,0;10639,939999999999;0,0;49000,0;1244,0;Carta de Crédito Associativo;4,5;Novo;N;price;;Faixa 1;
02/05/2025;355030;São Paulo ;SP;Sudeste;;1;180800,0;0,0;0,0;0,0;0,0;226033,59;4609,86;Apoio à Produção;7,66;Novo;S;price;1985-12-18;Faixa 3;
02/05/2025;352940;Mauá ;SP;Sudeste;2014-06-24;1;136866,88;0,0;0,0;0,0;0,0;161000,0;4165,33;Apoio à Produção;7,16;Novo;N;price;;Faixa 3;
02/05/2025;313690;Juruaia ;MG;Sudeste;2015-04-23;1;75800,0;5995,275;1271,7250000000004;13199,99175;2799,9982500000015;90000,0;1792,22;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 1;
02/05/2025;231140;Quixeramobim ;CE;Nordeste;2019-02-11;1;101600,0;1840,5;204,5;18900,0;2100,0;127000,0;2505,9;Carta de Crédito Individual;5,0;Novo;S;price;1978-08-19;Faixa 2;
02/05/2025;210750;Paço do Lumiar ;MA;Nordeste;2011-04-20;1;70702,0;8473,5;2824,5;0,0;0,0;82000,0;1748,55;Carta de Crédito Associativo;4,5;Novo;N;price;;Faixa 2;
02/05/2025;352800;Macatuba ;SP;Sudeste;2021-08-24;1;116000,0;877,0;0,0;8880,1;0,0;145000,0;2970,21;Carta de Crédito Individual;5,5;Novo;S;price;1997-11-20;Faixa 2;
02/05/2025;211220;Timon ;MA;Nordeste;;1;137690,0;25516,0;0,0;27782,74;0,0;175000,0;2300,52;Carta de Crédito Individual;4,25;Novo;S;price;1989-05-08;Faixa 1;
02/05/2025;421690;São Lourenço do Oeste ;SC;Sul;2014-10-27;1;99349,81;1743,225;369,7750000000001;13199,991749999997;2799,9982500000015;110389,0;2443,26;Carta de Crédito Individual;4,5;Novo;N;price;;Faixa 2;
02/05/2025;291080;Feira de Santana ;BA;Nordeste;2023-09-20;1;92744,34;47861,0;0,0;23347,8;0,0;160000,0;1729,86;Apoio à Produção;4,0;Novo;S;price;1994-04-15;Faixa 1;
02/05/2025;430110;Arroio dos Ratos ;RS;Sul;2016-11-30;1;55621,97;0,0;0,0;3496,03;0,0;80000,0;2733,78;Carta de Crédito Individual;6,5;Usado;S;sac;1986-05-21;Faixa 2;
02/05/2025;110030;Vilhena ;RO;Norte;2023-10-20;1;239999,92;0,0;0,0;0,0;0,0;299999,9;7488,35;Carta de Crédito Individual;7,66;Novo;S;price;1969-05-04;Faixa 3;
02/05/2025;411370;Londrina ;PR;Sul;2013-10-30;1;94500,0;1743,225;369,7750000000001;13199,991749999997;2799,998250000001;105000,0;3076,84;Carta de Crédito Individual;5,5;Novo;N;price;;Faixa 2;
02/05/2025;353060;Mogi das Cruzes ;SP;Sudeste;2017-02-06;1;80750,0;0,0;0,0;15999,99;0,0;127000,0;2099,67;Carta de Crédito Individual;5,0;Usado;S;sac;1993-02-19;Faixa 2;
02/05/2025;354070;Porto Ferreira ;SP;Sudeste;2022-10-20;1;70660,51;8698,0;0,0;12713,17;0,0;166750,0;2045,0;Carta de Crédito Individual;4,5;Novo;S;sac;1972-08-20;Faixa 2;
02/05/2025;355030;São Paulo ;SP;Sudeste;2022-09-13;1;171613,07;0,0;0,0;0,0;0,0;247000,0;4607,06;Apoio à Produção;7,16;Novo;S;price;1995-08-19;Faixa 3;
02/05/2025;310620;Belo Horizonte ;MG;Sudeste;;1;188800,0;0,0;0,0;0,0;0,0;236000,0;4889,51;Carta de Crédito Individual;7,66;Usado;S;price;1978-07-18;Faixa 3;
02/05/2025;330350;Nova Iguaçu ;RJ;Sudeste;2013-06-14;1;65391,009999999995;20625,0;4375,0;13199,991749999997;2799,9982500000015;95000,0;1515,4;Apoio à Produção;4,5;Novo;N;price;;Faixa 1;
02/05/2025;355030;São Paulo ;SP;Sudeste;2015-07-30;1;134399,65;1743,225;369,7750000000001;13199,99175;2799,9982500000006;180000,0;3118,66;Apoio à Produção;5,5;Novo;N;price;;Faixa 2;
02/05/2025;350950;Campinas ;SP;Sudeste;2011-03-15;1;58071,0;4538,25;1512,75;0,0;0,0;64122,0;2520,91;Carta de Crédito Associativo;5,5;Novo;N;price;;Faixa 2;
02/05/2025;291520;Itagibá ;BA;Nordeste;2012-09-25;1;55000,0;9000,0;0,0;13233,04;0,0;65000,0;1550,0;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 1;
02/05/2025;292740;Salvador ;BA;Nordeste;2011-12-16;1;109000,0;0,0;0,0;0,0;0,0;109000,0;5140,0;Carta de Crédito Individual;7,66;Usado;N;price;;Faixa 3;
02/05/2025;431490;Porto Alegre ;RS;Sul;2017-03-21;1;139041,67;0,0;0,0;0,0;0,0;235000,0;9134,46;Pró-Cotista;8,51;Usado;S;sac;1975-01-08;Fora MCMV/CVA;
02/05/2025;240100;Apodi ;RN;Nordeste;2017-07-03;1;62400,0;5178,6;575,4;18803,83;2089,3199999999997;95000,0;1874,0;Carta de Crédito Individual;5,5;Novo;N;price;1965-05-18;Faixa 2;
02/05/2025;330455;Rio de Janeiro ;RJ;Sudeste;2018-09-24;1;67915,61;42750,0;4750,0;18899,99;2100,0;144000,0;1445,67;Apoio à Produção;4,5;Novo;S;price;1990-10-09;Faixa 1;
02/05/2025;410180;Araucária ;PR;Sul;2020-03-27;1;137644,06;1086,3;120,7;7172,71;796,96;175300,0;3887,37;Apoio à Produção;6,5;Novo;S;sac;1992-11-12;Faixa 2;
02/05/2025;310020;Abaeté ;MG;Sudeste;2014-09-29;1;80703,48;3248,0249999999996;688,9750000000004;13199,99175;2799,9982499999996;89670,5;2155,08;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 2;
02/05/2025;410050;Altônia ;PR;Sul;2014-05-23;1;74181,43;11985,599999999999;2542,4000000000015;13199,991750000001;2799,9982499999996;100000,0;1757,02;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 2;
02/05/2025;432110;Tapes ;RS;Sul;2011-09-27;1;34821,21;2000,0;0,0;0,0;0,0;36821,21;1344,0;Carta de Crédito Individual;4,5;Usado;N;price;;Faixa 1;
02/05/2025;312770;Governador Valadares ;MG;Sudeste;2012-07-20;1;88073,2;3000,5249999999996;2952,257000000001;10917,258;0,0;110000,0;2245,91;Carta de Crédito Individual;5,0;Novo;N;price;;Faixa 2;
02/05/2025;350950;Campinas ;SP;Sudeste;;1;280000,0;0,0;0,0;0,0;0,0;350000,0;7800,0;Apoio à Produção;;Novo;;;;Faixa 3;,
02/05/2025;432090;Tapejara ;RS;Sul;2014-09-01;1;80542,53;1307,625;277,375;13199,991749999997;2799,9982500000015;90000,0;2361,94;Carta de Crédito Individual;4,5;Novo;N;price;;Faixa 2;
02/05/2025;521250;Luziânia ;GO;Centro-Oeste;2015-11-20;1;110000,0;0,0;0,0;0,0;0,0;140000,0;4930,83;Carta de Crédito Individual;7,16;Usado;N;price;;Faixa 3;
02/05/2025;520870;Goiânia ;GO;Centro-Oeste;2014-02-21;1;112387,0;1743,225;369,7750000000001;13199,99175;2799,9982500000006;153982,0;3186,89;Carta de Crédito Individual;5,5;Novo;N;price;;Faixa 2;
02/05/2025;355220;Sorocaba ;SP;Sudeste;2015-11-17;1;114799,94;1743,225;369,7750000000001;13199,991750000001;2799,99825;143500,0;2801,59;Apoio à Produção;5,5;Novo;N;price;;Faixa 2;
02/05/2025;412710;Telêmaco Borba ;PR;Sul;2014-01-03;1;65276,0;9177,3;1946,7000000000007;13199,991749999997;2799,9982500000006;98019,0;1759,95;Carta de Crédito Individual;4,5;Novo;N;price;;Faixa 2;
02/05/2025;330455;Rio de Janeiro ;RJ;Sudeste;2020-05-29;1;111795,26;5014,0;0,0;20999,99;0,0;160000,0;2492,0;Apoio à Produção;5,0;Novo;S;price;1992-01-29;Faixa 2;
02/05/2025;355030;São Paulo ;SP;Sudeste;;1;167192,16;1627,0;0,0;19065,38;0,0;219711,85;3200,0;Apoio à Produção;5,5;Novo;N;price;1997-12-03;Faixa 2;
02/05/2025;355030;São Paulo ;SP;Sudeste;2018-12-07;1;192000,0;0,0;0,0;0,0;0,0;240000,0;6932,78;Carta de Crédito Individual;7,66;Novo;S;price;1968-08-19;Faixa 3;
02/05/2025;355030;São Paulo ;SP;Sudeste;;1;280000,0;0,0;0,0;0,0;0,0;350000,0;7774,0;Apoio à Produção;;Novo;;;;Faixa 3;,
02/05/2025;314560;Oliveira ;MG;Sudeste;2023-08-31;1;128754,93;465,0;0,0;3024,27;0,0;160943,67;3604,25;Carta de Crédito Individual;5,5;Novo;S;price;1965-03-19;Faixa 2;
